,ManagerID,Authenticity,Emotional intelligence,Self confidence,Curiosity,Flexibility
0,3,4.0,5.0,4.0,5.0,5.0
1,4,5.0,5.0,5.0,4.0,4.0
2,5,4.0,3.0,4.0,4.0,3.0
3,6,5.0,5.0,5.0,4.0,3.0
4,7,4.0,3.0,5.0,4.0,4.0
5,8,5.0,5.0,5.0,5.0,5.0
6,9,4.0,4.0,3.0,5.0,5.0
7,10,4.0,4.0,5.0,5.0,5.0
8,11,4.0,4.0,4.0,4.0,4.0
9,12,3.0,3.0,4.0,3.0,4.0
10,13,4.0,5.0,5.0,5.0,5.0
11,14,4.0,5.0,4.0,4.0,3.0
12,15,5.0,4.0,4.0,5.0,4.0
13,16,4.0,4.0,4.0,3.0,3.0
14,17,4.0,4.0,3.0,4.0,4.0
15,18,5.0,4.0,5.0,3.0,4.0
16,0,2.5,2.5,2.5,2.5,2.5
