,ResponseID,ManagerID,Authenticity,Emotional intelligence,Self confidence,Curiosity,Flexibility,Authenticity2,Emotional intelligence2,Self confidence2,Curiosity2,Flexibility2
0,2,14,5,5,5,5,5,5,5,5,5,5
1,3,18,4,4,5,4,4,4,4,5,5,4
2,4,11,4,4,5,5,5,5,4,4,4,5
3,5,6,5,5,4,5,5,5,5,4,5,5
4,6,5,2,3,5,2,3,2,4,5,2,3
5,7,18,5,5,5,5,5,5,5,5,5,5
6,8,11,5,5,5,5,5,5,5,5,5,5
7,9,15,5,5,5,5,5,5,5,5,5,5
8,10,10,4,4,5,4,5,5,5,5,4,5
9,11,10,5,5,5,5,5,5,5,5,5,5
10,12,13,4,4,5,5,4,5,4,5,4,4
11,13,11,5,5,5,4,5,5,5,5,5,5
12,14,13,3,4,4,5,3,2,3,4,5,2
13,15,0,5,5,5,3,4,5,5,5,3,4
14,16,10,3,4,5,4,4,3,4,5,4,4
15,17,7,5,5,4,4,5,5,5,4,4,5
16,18,17,5,5,5,5,5,5,5,5,5,5
17,19,14,5,5,5,5,5,5,5,5,5,5
18,20,4,3,2,4,4,4,3,2,4,3,3
19,21,13,5,4,5,5,4,5,4,5,5,4
20,22,18,5,5,5,5,5,5,5,5,5,5
21,23,14,5,5,5,5,5,5,5,5,5,5
22,24,7,5,5,5,5,5,5,5,5,5,5
23,25,6,5,5,5,5,5,5,5,5,5,5
24,26,15,4,5,5,5,5,5,5,5,5,5
25,27,7,5,4,5,4,4,5,4,5,4,5
